Key,Model,Engine,Type,Size,Context,Speed,VRAM,Provider,Family,Best Used For / Capabilities
yi-1.5-6b,01-ai/Yi-1.5-6B-Chat,transformers,balanced,6B,4k,30-35 t/s,~7 GB (8-bit),01.AI,Yi 1.5,Dense codebase analysis and document extraction.
yi-1.5-9b,01-ai/Yi-1.5-9B-Chat,transformers,balanced,9B,4k,20-25 t/s,~10 GB (8-bit),01.AI,Yi 1.5,Analyzing dense structural API information.
qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,transformers,ultra-fast,0.5B,32k,~150+ t/s,~2 GB,Alibaba,Qwen 2.5,The absolute fastest basic logic and formatting.
qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,transformers,fast,1.5B,32k,~90+ t/s,~4 GB,Alibaba,Qwen 2.5,Highly capable text generation and knowledge retrieval.
qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,transformers,fast,3B,32k,~60+ t/s,~6.5 GB,Alibaba,Qwen 2.5,Strong multilingual support and balanced speed.
qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,transformers,balanced,7B,128k,25-30 t/s,~8 GB (8-bit),Alibaba,Qwen 2.5,Robust multilingual support and huge active knowledge.
qwen2.5-14b,Qwen/Qwen2.5-14B-Instruct,transformers,large,14B,128k,15-20 t/s,~10 GB (4-bit),Alibaba,Qwen 2.5,Immense active knowledge and deep logic chains.
qwen2.5-coder-0.5b,Qwen/Qwen2.5-Coder-0.5B-Instruct,transformers,ultra-fast,0.5B,32k,~150+ t/s,~2 GB,Alibaba,Qwen 2.5 Coder,Rapid syntax checking and micro-script generation.
qwen2.5-coder-1.5b,Qwen/Qwen2.5-Coder-1.5B-Instruct,transformers,fast,1.5B,32k,~90+ t/s,~4 GB,Alibaba,Qwen 2.5 Coder,Quick code autocomplete and simple refactoring.
qwen2.5-coder-3b,Qwen/Qwen2.5-Coder-3B-Instruct,transformers,fast,3B,32k,~60+ t/s,~6.5 GB,Alibaba,Qwen 2.5 Coder,Mid-tier autonomous coding and backend logic.
qwen2.5-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,transformers,balanced,7B,128k,25-30 t/s,~8 GB (8-bit),Alibaba,Qwen 2.5 Coder,Autonomous coding tasks and advanced script parsing.
qwen2.5-coder-14b,Qwen/Qwen2.5-Coder-14B-Instruct,transformers,large,14B,128k,15-20 t/s,~10 GB (4-bit),Alibaba,Qwen 2.5 Coder,Advanced full-stack application logic and debugging.
qwen2.5-math-1.5b,Qwen/Qwen2.5-Math-1.5B-Instruct,transformers,fast,1.5B,4k,~90+ t/s,~4 GB,Alibaba,Qwen 2.5 Math,Solving arithmetic and structured numerical tables.
qwen2.5-math-7b,Qwen/Qwen2.5-Math-7B-Instruct,transformers,balanced,7B,4k,25-30 t/s,~8 GB (8-bit),Alibaba,Qwen 2.5 Math,Parsing complex algorithms and strict logic outputs.
qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,transformers,fast,3B,32k,~50+ t/s,~7 GB,Alibaba,Qwen 2.5 VL,"Fast image processing, OCR, and visual parsing."
qwen2.5-vl-7b,Qwen/Qwen2.5-VL-7B-Instruct,transformers,balanced,7B,32k,20-25 t/s,~8.5 GB (8-bit),Alibaba,Qwen 2.5 VL,High-end vision reasoning and UI interface reading.
qwen2.5-omni-3b,Qwen/Qwen2.5-Omni-3B,transformers,fast,3B,32k,~50+ t/s,~7 GB,Alibaba,Qwen 2.5 Omni,Fast any-to-any multimodal reasoning (audio/text/image).
olmo-1b,allenai/OLMo-1B-Instruct,transformers,fast,1B,2k,~120+ t/s,~3.5 GB,AllenAI,OLMo,"Transparent, highly documented benchmarking."
olmo-7b,allenai/OLMo-7B-Instruct,transformers,balanced,7B,2k,25-30 t/s,~8.5 GB (8-bit),AllenAI,OLMo,Fully transparent architecture for strict benchmarking.
starcoder2-3b,bigcode/starcoder2-3b,transformers,fast,3B,16k,~60+ t/s,~6.5 GB,BigCode,StarCoder 2,The fastest specialized coding and autocomplete model.
starcoder2-7b,bigcode/starcoder2-7b,transformers,balanced,7B,16k,25-30 t/s,~8 GB (8-bit),BigCode,StarCoder 2,Repository-level context parsing and code generation.
flux-schnell,black-forest-labs/FLUX.1-schnell,diffusers,large,12B,N/A,~10-15 s/img,~16 GB,Black Forest Labs,Flux,"State-of-the-art detail, realism, and prompt adherence."
dolphin-2.8-mistral-7b-v02,cognitivecomputations/dolphin-2.8-mistral-7b-v02,transformers,balanced,7B,32k,25-30 t/s,~8 GB (8-bit),Cognitive Computations,Dolphin,"Fast, uncensored and highly reliable variant based on Mistral."
dolphin-2.9-llama3-8b,cognitivecomputations/dolphin-2.9-llama3-8b,transformers,balanced,8B,8k,25-30 t/s,~8.5 GB (8-bit),Cognitive Computations,Dolphin,"Exceptionally smart uncensored model, great at writing scripts."
aya-expanse-8b,CohereForAI/aya-expanse-8b,transformers,balanced,8B,8k,25-30 t/s,~8.5 GB (8-bit),Cohere,Aya,"Building diverse, highly multilingual instruction datasets."
